2016-12-29 09:38:24 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : Submit - check user exist - ENTRY ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 09:38:57 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user account lock in ART tool - ENTRY ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 09:38:58 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 09:38:58 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user OTP enabled - OTP ENABLED - for both user and application level , now redirecting to AccountUnlockAuthType ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 09:38:58 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_AuthType ; TrStatus : Page load ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 09:39:38 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_AuthOTP ; TrStatus : OTP sent, now redirecting to AccountUnlockOTP ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 09:39:38 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_OTP ; TrStatus : Page load ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 09:40:09 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_OTP ; TrStatus : Submit - Validate user otp ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 09:40:09 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_OTP ; TrStatus : valid OTP ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 09:40:09 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_OTP ; TrStatus : Unlocking user account - ENTRY ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 09:40:10 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_OTP ; TrStatus : Unlocking user account - SUCCESS ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 09:40:10 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_OTP ; TrStatus : Page load ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 12:47:15 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 12:47:15 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user exist - failure ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 12:47:23 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 12:47:23 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user exist - failure ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 12:47:45 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 12:50:43 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 12:53:40 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 12:55:57 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 01:03:35 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 01:03:47 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user exist - success ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 01:03:47 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 01:03:47 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 01:03:47 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 01:03:47 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - success ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 01:03:47 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 01:03:47 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 01:03:47 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 01:03:47 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 01:03:48 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_AuthType ; TrStatus : Page load ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 01:04:10 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 01:04:10 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 01:04:11 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 01:04:59 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 01:04:59 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User Registered For OTP ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 01:04:59 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 01:05:00 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 01:05:11 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 01:05:11 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 01:05:59 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Register Email Sentsenthilsi@hexaware.com ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 01:05:59 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:25:02 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:25:02 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:25:03 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:25:12 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:25:12 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User Registered For OTP ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:25:13 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:25:13 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:25:24 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:25:24 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:25:42 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Register Email Sentsenthilsi@hexaware.com ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:25:42 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:35:44 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:35:44 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user exist - success ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:35:44 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:35:45 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:35:45 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:35:45 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - success ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:35:45 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:35:45 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:35:45 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:35:45 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:35:45 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_AuthType ; TrStatus : Page load ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:35:49 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_AuthOTP ; TrStatus : OTP sent , now redirecting to ResetPasswordOTP ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:35:49 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_OTP ; TrStatus : Page load ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:36:26 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_OTP ; TrStatus : Submit - Validate user otp ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:36:26 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_OTP ; TrStatus : Invalid OTP ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:36:26 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_OTP ; TrStatus : Check for ART user account lock ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:36:26 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_OTP ; TrStatus : user account is NOT locked , now refresh the page ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:36:26 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_OTP ; TrStatus : Page load ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:37:29 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_OTP ; TrStatus : Submit - Validate user otp ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:41:01 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_OTP ; TrStatus : valid OTP, now redirecting to reset password ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:41:01 => UserID : 34501 ; Message : ResetPassword :: Reset_Password ; TrStatus : Reset Password page load ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:16 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:17 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : InValid login ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:17 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Account not locked ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:25 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:25 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:25 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:32 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:33 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User Registered For OTP ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:33 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:33 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:40 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:40 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:40 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:48 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:48 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user exist - success ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:48 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:48 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:48 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:48 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - success ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:48 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:49 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:49 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:49 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:49 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_AuthType ; TrStatus : Page load ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:51 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_AuthSecQue ; TrStatus : Page load , now redirecting to ResetPasswordQuestions ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:52 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_QA ; TrStatus : Reset Password Questions page load ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:56 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_QA ; TrStatus : Reset Password Questions submit ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:56 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_QA ; TrStatus : Valid answer, now redirecting to Reset page ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:44:56 => UserID : 34501 ; Message : ResetPassword :: Reset_Password ; TrStatus : Reset Password page load ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:49:48 => UserID : 34501 ; Message : ResetPassword :: Reset_Password ; TrStatus : Reset Password page load ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:50:11 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:50:11 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:50:12 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Change Password - Success ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:50:19 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:50:19 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user exist - success ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:50:19 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:50:19 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:50:19 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:50:19 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - success ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:50:19 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:50:19 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:50:19 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:50:19 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:50:19 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_AuthType ; TrStatus : Page load ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:50:23 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_AuthOTP ; TrStatus : OTP sent , now redirecting to ResetPasswordOTP ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:50:23 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_OTP ; TrStatus : Page load ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:53:09 => UserID :  ; Message : ResetPassword :: Reset_Password_AuthOTP ; TrStatus : RESEND :: Sending OTP - Failure ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:53:26 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:53:26 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user exist - success ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:53:26 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:53:26 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:53:26 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:53:26 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - success ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:53:26 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:53:26 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:53:26 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:53:26 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:53:27 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_AuthType ; TrStatus : Page load ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
2016-12-29 02:53:30 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_AuthOTP ; TrStatus : OTP sent , now redirecting to ResetPasswordOTP ; SessionId : cbveegg0hvqzdnc3ir4incvi ; 
